"date","geography","geography code","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"2011","E00004601","E00004601","Total",117,113,37,1,7,29,76,61,12,3,0,4
"2011","E00004603","E00004603","Total",131,128,13,0,6,7,115,77,37,1,0,3
"2011","E00004562","E00004562","Total",123,123,21,3,12,6,102,35,66,1,0,0
"2011","E00004564","E00004564","Total",118,118,24,0,13,11,94,35,41,18,0,0
"2011","E00004567","E00004567","Total",128,128,2,1,1,0,126,120,4,2,0,0
"2011","E00004597","E00004597","Total",214,205,103,0,89,14,102,67,29,6,0,9
"2011","E00004602","E00004602","Total",115,115,28,1,6,21,87,15,68,4,0,0
"2011","E00004813","E00004813","Total",174,162,31,9,21,1,131,32,98,1,0,12
"2011","E00004820","E00004820","Total",136,126,7,2,3,2,119,57,53,9,0,10
"2011","E00004848","E00004848","Total",159,159,16,10,5,1,143,117,17,9,0,0
"2011","E00004849","E00004849","Total",138,138,25,5,17,3,113,99,14,0,0,0
"2011","E00004850","E00004850","Total",203,203,15,0,12,3,187,108,72,7,1,0
"2011","E00004853","E00004853","Total",144,135,22,1,18,3,113,49,30,34,0,9
"2011","E00004814","E00004814","Total",124,124,27,1,6,20,97,58,39,0,0,0
"2011","E00004818","E00004818","Total",138,105,10,0,1,9,95,65,30,0,0,33
"2011","E00004821","E00004821","Total",109,98,5,1,0,4,93,13,79,1,0,11
"2011","E00004824","E00004824","Total",130,86,9,0,4,5,77,15,53,9,0,44
"2011","E00004825","E00004825","Total",110,88,1,0,0,1,87,26,61,0,0,22
"2011","E00004826","E00004826","Total",125,114,5,0,0,5,109,10,99,0,0,11
"2011","E00004851","E00004851","Total",95,95,9,1,3,5,86,49,36,1,0,0
"2011","E00004816","E00004816","Total",131,99,24,1,1,22,75,20,55,0,0,32
"2011","E00004817","E00004817","Total",112,109,52,0,5,47,57,2,55,0,0,3
"2011","E00004819","E00004819","Total",138,127,80,0,5,75,47,11,36,0,0,11
"2011","E00004822","E00004822","Total",130,126,75,2,12,61,51,9,42,0,0,4
"2011","E00004852","E00004852","Total",138,131,41,0,1,40,90,21,62,7,0,7
"2011","E00004815","E00004815","Total",242,212,38,4,7,27,174,108,40,26,0,30
"2011","E00004823","E00004823","Total",180,180,5,1,1,3,175,172,2,1,0,0
"2011","E00004827","E00004827","Total",168,166,10,2,3,5,156,113,43,0,0,2
"2011","E00004828","E00004828","Total",133,133,22,1,5,16,111,103,8,0,0,0
"2011","E00004829","E00004829","Total",109,87,10,2,1,7,77,36,41,0,0,22
"2011","E00004831","E00004831","Total",117,115,13,0,2,11,102,100,2,0,0,2
"2011","E00004830","E00004830","Total",139,111,8,0,1,7,103,47,56,0,0,28
"2011","E00004832","E00004832","Total",147,147,38,6,5,27,109,59,37,13,0,0
"2011","E00004835","E00004835","Total",167,161,19,2,9,8,142,51,69,22,0,6
"2011","E00004837","E00004837","Total",191,188,22,3,4,15,166,55,111,0,0,3
"2011","E00004840","E00004840","Total",117,113,8,1,2,5,105,24,81,0,0,4
"2011","E00004841","E00004841","Total",133,133,24,2,5,17,109,40,69,0,0,0
"2011","E00004120","E00004120","Total",143,143,11,2,8,1,132,29,102,1,0,0
"2011","E00004140","E00004140","Total",111,97,14,1,10,3,83,7,76,0,0,14
"2011","E00004141","E00004141","Total",114,107,3,0,3,0,104,17,86,1,0,7
"2011","E00004142","E00004142","Total",133,125,2,0,0,2,123,95,28,0,0,8
"2011","E00004145","E00004145","Total",110,98,9,3,6,0,89,12,77,0,0,12
"2011","E00004152","E00004152","Total",113,113,18,10,7,1,95,29,66,0,0,0
"2011","E00004121","E00004121","Total",118,118,8,2,5,1,110,25,85,0,0,0
"2011","E00004143","E00004143","Total",126,99,4,1,3,0,95,14,81,0,0,27
"2011","E00004150","E00004150","Total",147,139,16,0,2,14,123,39,83,1,0,8
"2011","E00004154","E00004154","Total",122,122,7,0,3,4,115,36,79,0,0,0
"2011","E00004155","E00004155","Total",103,103,3,0,1,2,100,60,40,0,0,0
